100.0,8.8
0.0,8.8
0.5,8.8
0.0,8.8
0.0,8.8
0.0,8.8
0.0,8.8
0.0,8.8
0.0,8.8
0.0,8.8
0.0,8.8
0.0,8.8
0.0,8.8
0.0,8.8
0.0,8.8
0.0,8.8
0.0,8.8
12.5,9.0
17.8,9.2
21.5,9.9
15.2,10.5
12.2,10.6
12.9,10.6
11.3,10.7
13.5,10.7
13.1,10.7
10.7,10.7
9.5,10.7
0.0,10.7
0.0,10.7
0.0,10.7
0.0,10.7
0.0,10.7
0.0,10.7
0.0,10.7
10.2,10.7
19.9,10.7
18.3,10.7
17.3,10.7
14.7,10.7
16.1,10.7
16.1,10.7
15.6,10.7
12.4,10.7
6.1,10.7
5.5,10.7
6.4,10.7
9.5,10.7
14.4,10.7
8.9,10.7
10.6,10.7
9.6,10.7
5.6,10.7
7.1,10.7
7.2,10.7
7.5,10.7
7.1,10.7
6.6,10.7
4.7,10.7
18.1,11.0
20.2,11.1
16.8,11.2
20.3,11.1
21.6,11.1
22.6,11.1
19.2,11.1
21.7,11.1
22.2,11.3
21.0,11.2
23.9,11.2
21.1,10.9
19.5,10.9
19.7,10.9
18.1,10.9
15.3,10.8
18.4,10.8
23.5,10.8
24.5,10.9
22.8,11.0
24.0,11.1
26.0,11.0
23.7,11.0
23.8,11.0
21.8,11.0
22.4,11.1
18.9,10.9
18.6,11.0
19.7,11.0
20.1,11.0
17.1,10.9
19.3,11.0
17.1,10.9
12.5,10.9
17.3,10.9
13.9,10.9
13.8,10.9
15.5,10.9
13.3,10.9
11.5,10.9
17.4,10.9
23.0,11.1
23.0,10.9
23.0,11.1
21.9,11.0
20.4,11.0
20.8,10.9
20.7,11.1
23.0,11.0
18.3,10.9
15.3,10.9
13.3,10.9
14.9,10.9
13.9,10.9
12.6,10.9
15.1,10.9
20.8,10.9
20.6,10.9
17.1,10.9
20.2,11.0
19.3,10.9
19.6,10.9
19.5,10.9
19.8,10.9
9.4,10.6
1.0,10.3
0.5,10.1
0.0,10.0
0.0,10.0
0.0,10.0
0.0,10.0
