Time,MB/s
0,611
1,775
2,915
3,794
4,875
5,874
6,776
7,947
8,811
9,960
10,937
11,1179
12,1287
13,1321
14,1198
15,1135
16,1176
17,1167
18,1161
19,1254
20,1367
21,1513
22,1432
23,1415
24,1486
25,1585
26,1610
27,1575
28,1509
29,1506
30,1535
31,1589
32,984
33,1041
34,1484
35,1567
36,1544
37,1538
38,1551
39,1477
40,1514
41,1517
42,1484
43,1536
44,1541
45,1485
46,1561
47,1600
48,1545
49,1450
50,1594
51,1586
52,1566
53,1585
54,1609
55,1606
56,1514
57,1616
58,1393
59,589
60,579
61,899
62,881
63,850
64,887
65,1009
66,818
67,810
68,841
69,881
70,1029
71,1277
72,1352
73,1014
74,1286
75,1236
76,1186
77,996
78,1116
79,1204
80,1377
81,1549
82,1541
83,1507
84,1531
85,1431
86,1540
87,1550
88,1401
89,1537
90,1534
91,1506
92,1433
93,1471
94,1463
95,1533
96,1509
97,1522
98,1505
99,1509
100,1483
101,1443
102,1422
103,1392
104,1402
105,1446
106,1262
107,1431
108,1466
109,1380
110,1517
111,1515
112,1510
113,1472
114,1465
115,1455
116,1470
117,1480
118,1469
119,1417
120,0
121,0
122,0
123,0
124,0
