Time,MB/s
0,958
1,989
2,822
3,980
4,992
5,946
6,844
7,849
8,932
9,908
10,1192
11,1237
12,1185
13,1183
14,1250
15,1297
16,1152
17,1290
18,1232
19,1152
20,1423
21,1411
22,1467
23,1460
24,1361
25,1566
26,1422
27,1427
28,1544
29,1459
30,1405
31,1574
32,1556
33,1521
34,1555
35,1456
36,1503
37,1506
38,1507
39,1510
40,1394
41,1496
42,1468
43,1396
44,1478
45,1399
46,1429
47,1446
48,1292
49,1467
50,1425
51,1471
52,1405
53,1533
54,1464
55,1424
56,1454
57,1447
58,1387
59,478
60,847
61,862
62,813
63,819
64,752
65,768
66,819
67,761
68,804
69,775
70,1142
71,1213
72,1094
73,1007
74,1171
75,1096
76,1063
77,1112
78,1072
79,1107
80,1394
81,1407
82,1332
83,1334
84,1453
85,1418
86,1423
87,1362
88,1394
89,1301
90,1423
91,1381
92,1455
93,1447
94,1515
95,1402
96,1448
97,1376
98,1459
99,1461
100,1441
101,1457
102,1364
103,1404
104,1378
105,1464
106,1377
107,1432
108,1390
109,1387
110,1399
111,1391
112,1377
113,1422
114,1353
115,1318
116,1304
117,1341
118,1384
119,1450
120,0
121,0
122,0
123,0
124,0
