Time,MB/s
0,665
1,586
2,981
3,962
4,927
5,988
6,992
7,1031
8,916
9,909
10,995
11,1199
12,1319
13,1265
14,1270
15,1165
16,1273
17,1264
18,1260
19,1233
20,1125
21,1535
22,1465
23,1552
24,1552
25,1517
26,1541
27,1477
28,1557
29,1454
30,1346
31,1498
32,1316
33,1503
34,1553
35,1491
36,1431
37,1488
38,1403
39,1446
40,1466
41,1460
42,1401
43,1431
44,1436
45,1356
46,1338
47,1324
48,1287
49,1305
50,1383
51,1403
52,1424
53,1510
54,1514
55,1305
56,1363
57,1483
58,1294
59,432
60,385
61,711
62,806
63,897
64,814
65,798
66,921
67,929
68,889
69,859
70,838
71,1105
72,1119
73,1155
74,1144
75,1179
76,1077
77,981
78,1140
79,1207
80,1095
81,1348
82,1430
83,1436
84,1407
85,1321
86,1463
87,1368
88,1396
89,1283
90,1318
91,1289
92,1414
93,1346
94,1365
95,1378
96,1332
97,1343
98,1263
99,1312
100,1306
101,1360
102,1327
103,1239
104,1272
105,1325
106,1181
107,1193
108,1289
109,1307
110,1262
111,1261
112,1213
113,1196
114,1229
115,1353
116,1200
117,1209
118,1217
119,1373
120,0
121,0
122,0
123,0
124,0
