Time,MB/s
0,479
1,447
2,463
3,521
4,458
5,483
6,460
7,461
8,894
9,930
10,825
11,735
12,933
13,895
14,876
15,832
16,827
17,914
18,1182
19,1204
20,1194
21,1163
22,1230
23,1243
24,1232
25,1120
26,1179
27,1216
28,1539
29,1463
30,1523
31,1480
32,1500
33,1523
34,1576
35,1523
36,1564
37,1527
38,1453
39,1442
40,1332
41,1485
42,1555
43,1423
44,1487
45,1476
46,1517
47,1507
48,1497
49,1400
50,1536
51,1501
52,1523
53,1567
54,1518
55,1530
56,1514
57,1550
58,1511
59,300
60,316
61,352
62,310
63,327
64,333
65,343
66,330
67,337
68,802
69,778
70,751
71,680
72,789
73,710
74,751
75,619
76,727
77,763
78,1001
79,1079
80,1005
81,972
82,1132
83,1066
84,1268
85,1154
86,1024
87,1154
88,1381
89,1413
90,1542
91,1586
92,1382
93,1375
94,1528
95,1380
96,1425
97,1519
98,1332
99,1400
100,1375
101,1450
102,1504
103,1352
104,1510
105,1428
106,1423
107,1452
108,1508
109,1409
110,1461
111,1498
112,1445
113,1318
114,1328
115,1306
116,1423
117,1315
118,1335
119,1538
120,0
121,0
122,0
123,0
124,0
