Time,MB/s
0,575
1,558
2,574
3,562
4,563
5,545
6,578
7,601
8,945
9,980
10,1019
11,979
12,992
13,976
14,997
15,950
16,892
17,999
18,1318
19,1367
20,1376
21,1329
22,1269
23,1370
24,1371
25,1296
26,1313
27,1376
28,1620
29,1611
30,1630
31,1645
32,1563
33,1648
34,1527
35,1439
36,1593
37,1505
38,1557
39,1510
40,1535
41,1563
42,1543
43,1557
44,1574
45,1583
46,1465
47,1425
48,1431
49,1538
50,1526
51,1600
52,1571
53,1618
54,1564
55,1446
56,1501
57,1587
58,1500
59,572
60,593
61,572
62,626
63,611
64,616
65,570
66,608
67,682
68,932
69,1017
70,920
71,965
72,940
73,960
74,939
75,951
76,979
77,973
78,1189
79,1198
80,1173
81,1227
82,1250
83,1267
84,1104
85,1274
86,1271
87,1296
88,1445
89,1527
90,1464
91,1442
92,1547
93,1540
94,1435
95,1479
96,1513
97,1396
98,1434
99,1404
100,1487
101,1424
102,1432
103,1503
104,1515
105,1449
106,1361
107,1459
108,1371
109,1480
110,1498
111,1480
112,1508
113,1593
114,1447
115,1436
116,1410
117,1476
118,1420
119,1607
120,0
121,0
122,0
123,0
124,0
