Time,MB/s
0,509
1,609
2,875
3,947
4,929
5,893
6,958
7,844
8,913
9,978
10,976
11,1239
12,1260
13,1110
14,1246
15,1229
16,1271
17,1140
18,1201
19,1170
20,1320
21,1578
22,1508
23,1620
24,1483
25,1567
26,1504
27,1499
28,1463
29,1524
30,1577
31,1447
32,1392
33,1465
34,1431
35,1549
36,1417
37,1546
38,1467
39,1409
40,1517
41,1529
42,1463
43,1533
44,1395
45,1390
46,1466
47,1515
48,1560
49,1460
50,1392
51,1471
52,1388
53,1492
54,1399
55,1381
56,1422
57,1494
58,1444
59,441
60,563
61,913
62,1015
63,936
64,950
65,853
66,854
67,858
68,927
69,890
70,975
71,1147
72,1165
73,1024
74,1219
75,1159
76,1114
77,1196
78,1145
79,1118
80,1151
81,1400
82,1372
83,1365
84,1412
85,1321
86,1451
87,1394
88,1373
89,1428
90,1352
91,1346
92,1447
93,1369
94,1429
95,1424
96,1340
97,1369
98,1361
99,1361
100,1301
101,1357
102,1359
103,1421
104,1448
105,1346
106,1362
107,1405
108,1397
109,1362
110,1393
111,1305
112,1344
113,1352
114,1344
115,1341
116,1309
117,1360
118,1358
119,1428
120,0
121,0
122,0
123,0
124,0
