Time,MB/s
0,977
1,1012
2,968
3,941
4,789
5,1040
6,1016
7,988
8,906
9,1006
10,1310
11,1211
12,1293
13,1190
14,1116
15,1164
16,1266
17,1310
18,1177
19,1253
20,1483
21,1546
22,1482
23,1462
24,1479
25,1395
26,1464
27,1398
28,1436
29,1491
30,1511
31,1570
32,1473
33,1355
34,1463
35,1385
36,1482
37,1436
38,1388
39,1437
40,1395
41,1441
42,1528
43,1428
44,1456
45,1327
46,1460
47,1535
48,1510
49,1390
50,1518
51,1482
52,1461
53,1459
54,1454
55,1498
56,1440
57,1433
58,1321
59,572
60,979
61,825
62,791
63,837
64,862
65,879
66,807
67,792
68,764
69,881
70,1104
71,1146
72,1092
73,1223
74,1133
75,1185
76,1223
77,1258
78,1173
79,1090
80,1430
81,1407
82,1394
83,1449
84,1408
85,1413
86,1352
87,1342
88,1393
89,1434
90,1399
91,1351
92,1304
93,1471
94,1436
95,1335
96,1383
97,1387
98,1358
99,1445
100,1401
101,1401
102,1296
103,1386
104,1366
105,1308
106,1298
107,1407
108,1372
109,1416
110,1405
111,1398
112,1357
113,1429
114,1404
115,1366
116,1325
117,1365
118,1338
119,1485
120,0
121,0
122,0
123,0
124,0
