Time,MB/s
0,805
1,951
2,911
3,1081
4,1002
5,990
6,933
7,938
8,881
9,927
10,1255
11,1367
12,1320
13,1256
14,1316
15,1338
16,1337
17,1309
18,1309
19,1382
20,1494
21,1494
22,1590
23,1470
24,1624
25,1582
26,1524
27,1578
28,1554
29,1542
30,1544
31,1571
32,602
33,1406
34,1521
35,1579
36,1506
37,1552
38,1540
39,1581
40,1485
41,1543
42,1520
43,1518
44,1467
45,1548
46,1506
47,1558
48,1574
49,1507
50,1387
51,1510
52,1525
53,1553
54,1525
55,1498
56,1541
57,1445
58,1208
59,425
60,708
61,828
62,836
63,819
64,848
65,872
66,843
67,823
68,875
69,809
70,1047
71,1156
72,1232
73,1304
74,1205
75,1275
76,1113
77,1121
78,1127
79,1149
80,1322
81,1454
82,1515
83,1308
84,1385
85,1404
86,1384
87,1416
88,1515
89,1484
90,1373
91,1343
92,1400
93,1493
94,1478
95,1516
96,1454
97,1457
98,1459
99,1476
100,1510
101,1452
102,1437
103,1474
104,1428
105,1473
106,1428
107,1460
108,1373
109,1415
110,1421
111,1443
112,1310
113,1429
114,1327
115,1368
116,1390
117,1392
118,1362
119,1498
120,0
121,0
122,0
123,0
124,0
