Time,MB/s
0,703
1,517
2,492
3,457
4,457
5,499
6,468
7,492
8,653
9,658
10,692
11,753
12,736
13,627
14,697
15,679
16,770
17,687
18,1061
19,1057
20,1069
21,1145
22,1050
23,1055
24,1165
25,1100
26,1160
27,1136
28,1406
29,1519
30,1450
31,1521
32,1616
33,1542
34,1473
35,1573
36,1488
37,1488
38,1600
39,1493
40,1546
41,1551
42,1540
43,1584
44,1514
45,1487
46,1503
47,1573
48,1535
49,1484
50,1601
51,1545
52,1511
53,1599
54,1567
55,1506
56,1532
57,1456
58,1387
59,786
60,746
61,759
62,724
63,716
64,721
65,721
66,736
67,695
68,989
69,1039
70,1059
71,1095
72,912
73,1113
74,1108
75,1126
76,1066
77,1004
78,1353
79,1397
80,1452
81,1457
82,1361
83,1277
84,1274
85,1259
86,1365
87,1227
88,1433
89,1505
90,1556
91,1678
92,1510
93,1644
94,1532
95,1638
96,1551
97,1566
98,1526
99,1534
100,1472
101,1499
102,1432
103,1560
104,1543
105,1493
106,1597
107,1308
108,1510
109,1485
110,1620
111,1501
112,1526
113,1473
114,1565
115,1543
116,1526
117,1431
118,1574
119,1485
120,0
121,0
122,0
123,0
124,0
