Time,MB/s
0,615
1,436
2,851
3,877
4,935
5,925
6,862
7,791
8,930
9,855
10,904
11,1181
12,1224
13,1347
14,1270
15,1356
16,1149
17,1291
18,1303
19,1319
20,1213
21,1362
22,1584
23,1229
24,1506
25,1438
26,1520
27,1484
28,1510
29,1424
30,1569
31,1545
32,1440
33,1488
34,1442
35,1485
36,1497
37,1463
38,1479
39,1498
40,1458
41,1454
42,1489
43,1514
44,1407
45,1518
46,1409
47,1419
48,1472
49,1463
50,1506
51,1411
52,1503
53,1416
54,1522
55,1508
56,1502
57,1392
58,1307
59,563
60,531
61,831
62,925
63,846
64,899
65,785
66,764
67,794
68,930
69,909
70,826
71,1217
72,1232
73,1178
74,1200
75,1148
76,1192
77,1252
78,1216
79,1213
80,1192
81,1479
82,1385
83,1491
84,1433
85,1479
86,1402
87,1365
88,1426
89,1454
90,1427
91,1369
92,1392
93,1408
94,1359
95,1365
96,1383
97,1359
98,1374
99,1427
100,1294
101,1394
102,1420
103,1356
104,1304
105,1376
106,1366
107,1413
108,1410
109,1386
110,1412
111,1375
112,1351
113,1390
114,1364
115,1314
116,1351
117,1375
118,1276
119,1325
120,0
121,0
122,0
123,0
124,0
