Time,MB/s
0,752
1,950
2,1037
3,1044
4,1008
5,878
6,1132
7,897
8,1009
9,903
10,951
11,1353
12,1476
13,1296
14,1317
15,1357
16,1493
17,1441
18,1400
19,1361
20,1326
21,1552
22,1574
23,1624
24,1522
25,1475
26,1578
27,1559
28,1550
29,1555
30,1563
31,1631
32,1496
33,642
34,1559
35,1589
36,1593
37,1542
38,1461
39,1475
40,1439
41,1507
42,1391
43,1515
44,1526
45,1335
46,1465
47,1474
48,1544
49,1562
50,1448
51,1603
52,1569
53,1563
54,1556
55,1546
56,1627
57,1614
58,1530
59,546
60,490
61,863
62,1010
63,938
64,978
65,841
66,854
67,971
68,917
69,920
70,939
71,1193
72,1164
73,1207
74,1271
75,1256
76,1186
77,1238
78,1150
79,1169
80,1108
81,1448
82,1553
83,1570
84,1536
85,1439
86,1463
87,1509
88,1433
89,1342
90,1479
91,1462
92,1454
93,1444
94,1437
95,1405
96,1362
97,1402
98,1424
99,1361
100,1408
101,1452
102,1380
103,1367
104,1343
105,1440
106,1459
107,1477
108,1488
109,1429
110,1418
111,1444
112,1402
113,1460
114,1487
115,1466
116,1380
117,1423
118,1382
119,1430
120,0
121,0
122,0
123,0
124,0
