Time,MB/s
0,1292
1,786
2,786
3,900
4,834
5,841
6,791
7,925
8,721
9,921
10,956
11,1266
12,1209
13,1284
14,1241
15,1150
16,1259
17,1188
18,1256
19,1251
20,1327
21,1533
22,1622
23,1527
24,1478
25,1592
26,1580
27,1650
28,1597
29,1381
30,1539
31,1507
32,1391
33,1413
34,1532
35,1555
36,1526
37,1458
38,1562
39,1478
40,1561
41,1509
42,1502
43,1496
44,1612
45,1524
46,1581
47,1521
48,1586
49,1546
50,1577
51,1609
52,1491
53,1368
54,1429
55,1440
56,1501
57,1542
58,1399
59,504
60,608
61,838
62,892
63,913
64,845
65,881
66,696
67,876
68,874
69,893
70,1001
71,1155
72,1271
73,1229
74,1170
75,1238
76,1221
77,1201
78,1205
79,1031
80,1368
81,1482
82,1429
83,1354
84,1319
85,1400
86,1288
87,1370
88,1448
89,1417
90,1320
91,1392
92,1424
93,1454
94,1297
95,1451
96,1475
97,1496
98,1433
99,1413
100,1428
101,1353
102,1408
103,1440
104,1410
105,1396
106,1485
107,1396
108,1372
109,1363
110,1229
111,1368
112,1336
113,1287
114,1339
115,1327
116,1340
117,1353
118,1364
119,1328
120,0
121,0
122,0
123,0
124,0
