Time,MB/s
0,1006
1,409
2,590
3,811
4,816
5,845
6,759
7,829
8,834
9,902
10,831
11,971
12,1138
13,1142
14,1079
15,1296
16,1107
17,1107
18,1168
19,1199
20,1178
21,1413
22,1590
23,1586
24,1478
25,1437
26,1544
27,1603
28,1368
29,1398
30,1579
31,1511
32,1432
33,1532
34,1434
35,1416
36,1490
37,1546
38,1440
39,1550
40,1533
41,1469
42,1492
43,1535
44,1442
45,1473
46,1478
47,1471
48,1458
49,1491
50,1534
51,1410
52,1434
53,1411
54,1360
55,1463
56,1465
57,1457
58,1463
59,558
60,525
61,749
62,958
63,715
64,841
65,824
66,942
67,867
68,759
69,652
70,822
71,880
72,1017
73,1101
74,1126
75,1025
76,1088
77,1170
78,1075
79,1100
80,1080
81,1275
82,1412
83,1459
84,1396
85,1450
86,1420
87,1452
88,1423
89,1421
90,1320
91,1372
92,1363
93,1340
94,1338
95,1369
96,1288
97,1344
98,1355
99,1433
100,1359
101,1388
102,1297
103,1363
104,1344
105,1394
106,1331
107,1384
108,1380
109,1310
110,1342
111,1287
112,1392
113,1352
114,1322
115,1297
116,1305
117,1390
118,1287
119,1177
120,0
121,0
122,0
123,0
124,0
