Time,MB/s
0,1109
1,868
2,1030
3,966
4,1069
5,970
6,1059
7,1034
8,1001
9,1060
10,997
11,1259
12,1417
13,1397
14,1363
15,1338
16,1417
17,1413
18,1390
19,1413
20,1319
21,1577
22,1507
23,1596
24,1591
25,1564
26,1660
27,1437
28,1587
29,1437
30,1555
31,1529
32,1543
33,561
34,1617
35,1574
36,1499
37,1458
38,1531
39,1542
40,1556
41,1564
42,1571
43,1629
44,1551
45,1615
46,1561
47,1557
48,1541
49,1567
50,1562
51,1594
52,1520
53,1554
54,1431
55,1593
56,1523
57,1587
58,1497
59,606
60,473
61,802
62,873
63,925
64,906
65,928
66,939
67,924
68,957
69,905
70,932
71,1083
72,1166
73,1196
74,1148
75,1089
76,1153
77,1111
78,1282
79,1110
80,1222
81,1472
82,1587
83,1471
84,1576
85,1450
86,1516
87,1526
88,1525
89,1527
90,1532
91,1474
92,1444
93,1354
94,1279
95,1379
96,1485
97,1468
98,1472
99,1445
100,1520
101,1364
102,1427
103,1387
104,1397
105,1448
106,1500
107,1395
108,1466
109,1410
110,1450
111,1354
112,1440
113,1491
114,1501
115,1466
116,1409
117,1338
118,1409
119,1345
120,0
121,0
122,0
123,0
124,0
