Time,MB/s
0,1203
1,597
2,614
3,603
4,611
5,595
6,597
7,606
8,750
9,1065
10,1066
11,1091
12,1051
13,1051
14,1048
15,1112
16,1081
17,1094
18,1219
19,1500
20,1512
21,1472
22,1478
23,1512
24,1440
25,1447
26,1496
27,1475
28,1465
29,1544
30,1571
31,1593
32,1577
33,1680
34,1693
35,1631
36,1499
37,1598
38,1598
39,1647
40,1497
41,1570
42,1596
43,1635
44,1601
45,1584
46,1518
47,1653
48,1573
49,1496
50,1557
51,1612
52,1603
53,1623
54,1569
55,1647
56,1571
57,1649
58,1647
59,404
60,303
61,283
62,247
63,272
64,266
65,238
66,289
67,252
68,377
69,743
70,658
71,791
72,865
73,703
74,564
75,763
76,685
77,710
78,906
79,1245
80,1145
81,1190
82,1167
83,1292
84,1024
85,1152
86,1189
87,1247
88,1344
89,1517
90,1487
91,1443
92,1380
93,1506
94,1477
95,1445
96,1427
97,1540
98,1460
99,1404
100,1484
101,1469
102,1499
103,1517
104,1552
105,1465
106,1400
107,1559
108,1442
109,1415
110,1341
111,1250
112,1342
113,1501
114,1556
115,1436
116,1433
117,1418
118,1426
119,1479
120,0
121,0
122,0
123,0
124,0
